task,condition,score_mode,cardinality,candidate_count,queries,logsumexp_evidence_mean,logsumexp_evidence_median,logsumexp_evidence_p05,logsumexp_evidence_p95,logmeanexp_evidence_mean,logmeanexp_evidence_median,logmeanexp_evidence_p05,logmeanexp_evidence_p95,mean_candidate_score_mean,mean_candidate_score_median,mean_candidate_score_p05,mean_candidate_score_p95
group,C0,answer_sum,0,1,643,-4.802299232542237,-1.0646858215332031,-14.82778549194336,0.0,-4.802299232542237,-1.0646858215332031,-14.82778549194336,0.0,-4.802299232542237,-1.0646858215332031,-14.82778549194336,0.0
group,C0,answer_sum,1,5,643,-7.204865537729254,-1.7940014753416422,-24.389545104748784,-0.0011829347169307323,-8.814303450163354,-3.4034393877757427,-25.998983017182884,-1.610620847151031,-21.517606790403185,-20.90186653137207,-36.765600318908696,-8.537254829406738
group,C0,answer_sum,2,10,643,-26.26040515695555,-25.198772325602775,-44.34996622625198,-9.596310777013606,-28.562990249949596,-27.50135741859682,-46.65255131924602,-11.898895870007653,-38.26139830801387,-38.203798866271974,-54.335810050964355,-22.63673763275147
group,C0,answer_sum,3,10,643,-35.508364199361615,-35.78665821623094,-49.7033014862838,-18.559457906015048,-37.81094929235565,-38.08924330922498,-52.00588657927784,-20.862042999009095,-46.440276884254,-46.794409942626956,-61.05574613571167,-30.833008861541757
group,C0,answer_sum,4,5,643,-39.413480675278436,-40.51794820703553,-52.18304799335628,-22.256180520445433,-41.02291858771254,-42.127386119469634,-53.792485905790386,-23.865618432879533,-49.93841297333571,-50.61960220336914,-61.32424247741699,-35.43852294921875
group,C0,answer_sum,5,1,643,-39.52969022486851,-39.31112861633301,-54.443830490112305,-23.259970855712897,-39.52969022486851,-39.31112861633301,-54.443830490112305,-23.259970855712897,-39.52969022486851,-39.31112861633301,-54.443830490112305,-23.259970855712897
group,C0,answer_mean,0,1,643,-4.802299232542237,-1.0646858215332031,-14.82778549194336,0.0,-4.802299232542237,-1.0646858215332031,-14.82778549194336,0.0,-4.802299232542237,-1.0646858215332031,-14.82778549194336,0.0
group,C0,answer_mean,1,5,643,-1.6336258637254375,-0.21185345438765252,-6.724996458010052,0.4095167498169333,-3.2430637761595382,-1.8212913668217527,-8.334434370444153,-1.1999211626171669,-5.689965141636526,-5.567553367614746,-9.392638660430908,-2.256331578572592
group,C0,answer_mean,2,10,643,-2.449187454810292,-2.305416151417088,-4.931244403753564,-0.30500247325170027,-4.751772547804339,-4.608001244411134,-7.23382949674761,-2.6075875662457464,-5.6367123270550366,-5.633663857021029,-7.909825796369522,-3.3784867949107342
group,C0,answer_mean,3,10,643,-2.0011173952155206,-1.9923653659457605,-3.5357184147386502,-0.3975010820315971,-4.3037024882095665,-4.294950458939806,-5.838303507732696,-2.7000861750256426,-4.721801738643133,-4.7758435970364195,-6.169886962900258,-3.1886774957444937
group,C0,answer_mean,4,5,643,-2.0268178439801057,-2.065483882430633,-2.8965028805929793,-0.8213868397515729,-3.6362557564142066,-3.6749217948647335,-4.50594079302708,-2.430824752185673,-3.8696828396600043,-3.923018845359048,-4.73340310110714,-2.749696939209879
group,C0,answer_mean,5,1,643,-2.470605639054282,-2.456945538520813,-3.402739405632019,-1.453748178482056,-2.470605639054282,-2.456945538520813,-3.402739405632019,-1.453748178482056,-2.470605639054282,-2.456945538520813,-3.402739405632019,-1.453748178482056
group,C0,total_with_eos,0,1,643,-4.802299849538373,-1.0646858215332031,-14.82778549194336,0.0,-4.802299849538373,-1.0646858215332031,-14.82778549194336,0.0,-4.802299849538373,-1.0646858215332031,-14.82778549194336,0.0
group,C0,total_with_eos,1,5,643,-7.204865537729254,-1.7940014753416422,-24.389545104748784,-0.0011829347169307323,-8.814303450163354,-3.4034393877757427,-25.998983017182884,-1.610620847151031,-21.517606882952606,-20.90186653137207,-36.765601081848146,-8.537254829406738
group,C0,total_with_eos,2,10,643,-26.260405156955567,-25.198772325602775,-44.34996622625198,-9.596310777013606,-28.56299024994961,-27.50135741859682,-46.65255131924602,-11.898895870007653,-38.26139832759163,-38.203798866271974,-54.335810050964355,-22.63673763275147
group,C0,total_with_eos,3,10,643,-35.50836419936278,-35.78665821623094,-49.7033014862838,-18.559457906015048,-37.810949292356824,-38.08924330922498,-52.00588657927784,-20.862042999009095,-46.44027688781358,-46.794409942626956,-61.05574613571167,-30.833008861541757
group,C0,total_with_eos,4,5,643,-39.413480675278436,-40.51794820703553,-52.18304799335628,-22.256180520445433,-41.02291858771254,-42.127386119469634,-53.792485905790386,-23.865618432879533,-49.93841297333571,-50.61960220336914,-61.32424247741699,-35.43852294921875
group,C0,total_with_eos,5,1,643,-39.52969022486851,-39.31112861633301,-54.443830490112305,-23.259970855712897,-39.52969022486851,-39.31112861633301,-54.443830490112305,-23.259970855712897,-39.52969022486851,-39.31112861633301,-54.443830490112305,-23.259970855712897
group,C0,mean_with_eos,0,1,643,-2.4011499247691863,-0.5323429107666016,-7.41389274597168,0.0,-2.4011499247691863,-0.5323429107666016,-7.41389274597168,0.0,-2.4011499247691863,-0.5323429107666016,-7.41389274597168,0.0
group,C0,mean_with_eos,1,5,643,-1.1608931018252115,-0.05766312755869307,-5.1104188491520395,0.5421457412293226,-2.7703310142593116,-1.6671010399927932,-6.71985676158614,-1.0672921712047778,-4.461075285332631,-4.368544591267904,-7.417829989115397,-1.784509913126628
